Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,SMA_100,Daily Return,Rolling Volatility,Volume_SMA_30,Momentum,RSI
2025-02-20,96628.4,98722.29,96481.41,98347.95,98347.95,31327236096.0,,,,,,1719.550000000003,
2025-02-19,95532.53,96855.59,95011.97,96635.61,96635.61,28990872862.0,,,-0.017411039070971968,,,1103.0800000000017,
2025-02-18,95773.81,96695.38,93388.84,95539.55,95539.55,37325720482.0,,,-0.011342195697838453,,,-234.25999999999476,
2025-02-17,96179.01,97032.23,95243.55,95773.38,95773.38,27336550690.0,,,0.0024474680904400525,,,-405.6299999999901,
2025-02-16,97580.49,97725.59,96060.98,96175.03,96175.03,16536755396.0,,,0.00419375404731448,,,-1405.4600000000064,
2025-02-15,97508.38,97975.04,97240.2,97580.35,97580.35,17047266288.0,,,0.014612108777091182,,,71.97000000000116,
2025-02-14,96623.37,98819.47,96342.8,97508.97,97508.97,32697987277.0,,,-0.000731499733296781,,,885.6000000000058,
2025-02-13,97888.75,98111.09,95269.71,96623.87,96623.87,37147280860.0,,,-0.009077113623495392,,,-1264.8800000000047,
2025-02-12,95745.7,98151.02,94101.2,97885.86,97885.86,49340445530.0,,,0.013060851319658395,,,2140.1600000000035,
2025-02-11,97438.13,98492.9,94875.04,95747.43,95747.43,37488783272.0,,,-0.02184615837261894,,,-1690.7000000000116,
2025-02-10,96499.46,98333.22,95320.84,97437.55,97437.55,40078962391.0,,,0.01765185760077337,,,938.0899999999965,
2025-02-09,96481.31,97325.28,94745.26,96500.09,96500.09,27732901800.0,,,-0.009621136820455845,,,18.779999999998836,
2025-02-08,96533.26,96877.8,95702.49,96482.45,96482.45,22447526395.0,,,-0.00018279775697616074,,,-50.80999999999767,
2025-02-07,96581.32,100154.14,95653.88,96529.09,96529.09,55741290456.0,,,0.00048340397657820056,,,-52.23000000001048,42.35642076456807
2025-02-06,96610.64,99168.61,95707.35,96593.3,96593.3,45302471947.0,,,0.0006651880795727205,,,-17.339999999996508,42.66583738569178
